track,sut,condition,policy,ability,n,pass_rate,avg_latency_s
ko_native,bllossom_8b,retrieval,advisory,ALL,70,0.1562,4.942
ko_native,bllossom_8b,retrieval,advisory,IE,19,0.2105,4.951
ko_native,bllossom_8b,retrieval,advisory,KU,13,0.0769,4.936
ko_native,bllossom_8b,retrieval,advisory,MR,7,0.2857,4.935
ko_native,bllossom_8b,retrieval,advisory,REFL,6,,4.962
ko_native,bllossom_8b,retrieval,advisory,TR,15,0.2,4.939
ko_native,bllossom_8b,retrieval,reflective,ABS,10,0.2,4.936
ko_native,bllossom_8b,retrieval,reflective,ALL,70,0.2812,4.946
ko_native,bllossom_8b,retrieval,reflective,IE,19,0.3684,4.949
ko_native,bllossom_8b,retrieval,reflective,KU,13,0.2308,4.943
ko_native,bllossom_8b,retrieval,reflective,MR,7,0.1429,4.943
ko_native,bllossom_8b,retrieval,reflective,REFL,6,,4.964
ko_native,bllossom_8b,retrieval,reflective,TR,15,0.3333,4.944
ko_native,hclova_seed_15b,no_node,advisory,ABS,10,0.0,1.866
ko_native,hclova_seed_15b,no_node,advisory,ALL,70,0.0312,1.779
ko_native,hclova_seed_15b,no_node,advisory,IE,19,0.0,1.773
ko_native,hclova_seed_15b,no_node,advisory,KU,13,0.0769,1.75
ko_native,hclova_seed_15b,no_node,advisory,MR,7,0.1429,1.779
ko_native,hclova_seed_15b,no_node,advisory,REFL,6,,1.786
ko_native,hclova_seed_15b,no_node,advisory,TR,15,0.0,1.749
ko_native,hclova_seed_15b,oracle,advisory,ABS,10,0.0,1.829
ko_native,hclova_seed_15b,oracle,advisory,ALL,70,0.0781,1.78
ko_native,hclova_seed_15b,oracle,advisory,IE,19,0.1053,1.77
ko_native,hclova_seed_15b,oracle,advisory,KU,13,0.0769,1.778
ko_native,hclova_seed_15b,oracle,advisory,MR,7,0.1429,1.798
ko_native,hclova_seed_15b,oracle,advisory,REFL,6,,1.749
ko_native,hclova_seed_15b,oracle,advisory,TR,15,0.0667,1.764
ko_native,hclova_seed_15b,oracle,reflective,ABS,10,0.0,1.818
ko_native,hclova_seed_15b,oracle,reflective,ALL,70,0.125,1.775
